"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2020","61.62","63.86","64.15","60.64","50.21M","-5.59%"
"03/10/2020","65.27","64.14","65.27","61.50","58.06M","6.37%"
"03/09/2020","61.36","59.98","64.85","59.55","61.42M","-7.74%"
"03/06/2020","66.51","66.52","67.10","64.50","51.54M","-2.65%"
"03/05/2020","68.32","69.12","70.80","67.88","54.03M","-3.95%"
"03/04/2020","71.13","67.55","71.22","66.80","59.74M","7.01%"
"03/03/2020","66.47","69.67","70.27","65.62","65.28M","-3.82%"
"03/02/2020","69.11","69.22","69.40","65.25","89.07M","2.35%"
"02/28/2020","67.52","60.61","68.11","60.45","113.47M","6.92%"
"02/27/2020","63.15","63.73","66.75","62.22","90.64M","-5.62%"
"02/26/2020","66.91","65.52","68.86","65.50","74.97M","2.14%"
"02/25/2020","65.51","69.08","69.70","64.49","105.55M","-4.11%"
"02/24/2020","68.32","67.55","70.47","67.00","85.69M","-7.07%"
"02/21/2020","73.52","76.05","76.30","72.67","76.93M","-4.73%"
"02/20/2020","77.17","78.19","79.08","74.09","81.01M","-1.91%"
"02/19/2020","78.67","75.37","78.85","75.37","69.43M","6.11%"
"02/18/2020","74.14","71.41","74.33","71.22","62.19M","2.33%"
"02/14/2020","72.45","71.81","73.74","71.50","104.19M","7.03%"
"02/13/2020","67.69","67.55","68.37","67.28","52.80M","-0.66%"
"02/12/2020","68.14","67.50","68.20","67.11","37.46M","1.75%"
"02/11/2020","66.97","66.83","68.12","66.21","63.86M","1.87%"
"02/10/2020","65.74","63.12","65.75","63.08","52.96M","4.52%"
"02/07/2020","62.90","63.16","63.38","62.64","18.98M","-1.04%"
"02/06/2020","63.56","63.03","63.56","62.22","21.83M","1.39%"
"02/05/2020","62.69","63.00","63.10","61.85","20.82M","1.47%"
"02/04/2020","61.78","61.51","61.98","61.01","27.15M","2.83%"
"02/03/2020","60.08","58.92","60.28","58.86","25.59M","1.64%"
"01/31/2020","59.11","60.99","61.11","58.69","37.04M","-3.81%"
"01/30/2020","61.45","60.40","61.59","59.85","29.05M","0.11%"
"01/29/2020","61.38","61.85","62.21","60.98","25.95M","-0.98%"
"01/28/2020","61.99","60.71","62.32","60.18","31.10M","3.23%"
"01/27/2020","60.05","59.56","60.56","58.06","47.05M","-4.10%"
"01/24/2020","62.62","64.38","64.88","62.08","37.35M","-0.95%"
"01/23/2020","63.22","62.93","63.30","62.04","24.45M","1.14%"
"01/22/2020","62.51","62.44","63.40","62.25","23.92M","0.86%"
"01/21/2020","61.98","61.95","62.32","61.64","21.79M","-0.55%"
"01/17/2020","62.32","62.42","62.50","61.84","25.38M","0.14%"
"01/16/2020","62.23","61.93","62.29","61.69","28.42M","1.37%"
"01/15/2020","61.39","61.95","62.17","61.13","26.31M","-0.70%"
"01/14/2020","61.82","62.56","62.82","61.69","35.96M","-1.86%"
"01/13/2020","62.99","61.91","63.25","61.69","32.03M","3.13%"
"01/10/2020","61.08","61.83","62.14","60.94","31.65M","0.53%"
"01/09/2020","60.76","60.96","61.48","60.21","25.54M","1.11%"
"01/08/2020","60.09","59.94","60.51","59.54","27.72M","0.18%"
"01/07/2020","59.98","59.55","60.44","59.10","31.92M","1.20%"
"01/06/2020","59.27","58.08","59.32","57.82","26.29M","0.42%"
"01/03/2020","59.02","58.77","59.46","58.52","20.58M","-1.60%"
"01/02/2020","59.98","59.69","59.98","59.18","23.77M","1.95%"
"12/31/2019","58.83","57.73","58.92","57.53","23.12M","1.29%"
"12/30/2019","58.08","59.00","59.05","57.77","25.82M","-1.93%"
"12/27/2019","59.22","59.95","60.09","58.95","25.48M","-0.97%"
"12/26/2019","59.80","59.69","60.08","59.50","18.32M","0.23%"
"12/24/2019","59.66","59.55","59.83","59.20","13.89M","-0.07%"
"12/23/2019","59.70","60.13","60.45","59.60","35.54M","-0.23%"
"12/20/2019","59.84","59.53","60.10","59.34","60.34M","1.65%"
"12/19/2019","58.87","57.73","59.00","57.67","45.31M","2.60%"
"12/18/2019","57.38","57.42","57.98","57.34","34.43M","0.54%"
"12/17/2019","57.07","56.48","57.30","56.38","32.33M","1.39%"
"12/16/2019","56.29","56.48","57.02","56.19","32.13M","0.52%"
"12/13/2019","56.00","56.05","57.24","55.45","45.50M","-0.04%"
"12/12/2019","56.02","54.05","56.20","53.95","40.61M","3.09%"
"12/11/2019","54.34","53.60","54.39","53.58","23.40M","1.59%"
"12/10/2019","53.49","53.34","54.02","52.81","25.67M","0.85%"
"12/09/2019","53.04","52.81","53.59","52.73","21.51M","0.00%"
"12/06/2019","53.04","52.88","53.37","52.78","23.24M","1.63%"
"12/05/2019","52.19","52.58","52.73","51.88","18.51M","-0.31%"
"12/04/2019","52.35","52.76","52.98","52.07","27.36M","0.85%"
"12/03/2019","51.91","50.47","51.95","50.09","47.41M","-0.76%"
"12/02/2019","52.31","54.12","54.25","52.16","37.39M","-3.47%"
"11/29/2019","54.19","54.25","54.53","53.95","14.16M","-0.68%"
"11/27/2019","54.56","54.67","55.01","54.30","21.64M","0.57%"
"11/26/2019","54.25","55.12","55.17","54.19","38.57M","-1.90%"
"11/25/2019","55.30","54.01","55.35","53.88","50.73M","4.89%"
"11/22/2019","52.72","52.77","53.24","52.48","22.41M","0.32%"
"11/21/2019","52.55","52.75","53.31","52.33","28.84M","-0.47%"
"11/20/2019","52.80","51.77","53.64","51.64","47.30M","1.54%"
"11/19/2019","52.00","52.76","52.99","51.41","41.54M","-2.02%"
"11/18/2019","53.07","50.97","53.34","50.94","57.53M","3.96%"
"11/15/2019","51.05","52.42","52.94","50.16","105.42M","-2.67%"
"11/14/2019","52.45","52.23","52.47","51.63","52.70M","0.59%"
"11/13/2019","52.14","52.09","52.37","51.48","30.24M","-0.50%"
"11/12/2019","52.40","52.43","52.97","52.08","28.38M","0.67%"
"11/11/2019","52.05","51.94","52.28","51.07","24.38M","0.19%"
"11/08/2019","51.95","51.91","52.26","51.54","18.94M","-0.27%"
"11/07/2019","52.09","52.78","52.92","51.63","28.03M","0.35%"
"11/06/2019","51.91","52.16","52.42","51.03","26.90M","-0.94%"
"11/05/2019","52.40","52.62","52.88","51.92","30.09M","-0.42%"
"11/04/2019","52.62","51.46","52.75","51.23","37.67M","3.89%"
"11/01/2019","50.65","49.90","50.97","49.65","28.36M","0.78%"
"10/31/2019","50.26","50.54","50.75","49.45","20.97M","-0.97%"
"10/30/2019","50.75","51.00","51.06","50.06","20.60M","0.04%"
"10/29/2019","50.73","51.56","51.62","50.53","21.12M","-1.88%"
"10/28/2019","51.70","51.58","52.23","51.28","33.08M","1.11%"
"10/25/2019","51.13","50.02","51.35","49.95","42.31M","3.88%"
"10/24/2019","49.22","49.19","49.55","48.84","23.90M","0.92%"
"10/23/2019","48.77","48.08","48.91","47.76","28.58M","-0.27%"
"10/22/2019","48.90","49.58","50.63","48.83","33.74M","-0.20%"
"10/21/2019","49.00","48.24","49.14","48.05","26.70M","2.90%"
"10/18/2019","47.62","48.58","48.91","46.88","30.76M","-1.96%"
"10/17/2019","48.57","49.00","49.45","48.02","26.43M","0.04%"
"10/16/2019","48.55","48.75","49.80","48.44","43.28M","-1.10%"
"10/15/2019","49.09","47.54","49.82","47.40","66.80M","5.28%"
"10/14/2019","46.63","46.41","46.84","46.10","21.03M","0.28%"
"10/11/2019","46.50","46.60","47.34","46.41","45.09M","1.62%"
