sym,name,sector,lunes,martes,miercoles,jueves,viernes
EQIX,Equinix,Real Estate,218.00419811320756,219.98671551724138,219.02902586206898,219.76786654960492,219.27324514991182
EQR,Equity Residential,Real Estate,34.35818181818182,34.528623005877414,34.411988255033556,34.474935952177624,34.45795532646048
ESS,Essex Property Trust,Real Estate,119.80275482093664,120.40849706129302,119.99034395973153,120.21073441502988,120.13275773195876
EL,Estée Lauder Companies (The),Consumer Staples,75.4651331496786,76.33920235096558,75.83537751677852,76.08639624252775,75.8635910652921
ETSY,Etsy,Consumer Discretionary,72.36633879781421,72.69794554455446,72.35149253731343,71.83394472361809,71.6865903307888
RE,Everest Re,Financials,116.92038567493113,117.79758186397986,117.27633389261746,117.42983774551665,117.51197594501718
EVRG,Evergy,Utilities,25.49665748393021,25.68139378673384,25.576057046979866,25.636285226302306,25.615274914089348
ES,Eversource,Utilities,32.92822773186409,33.11829554995802,32.97128355704698,33.062604611443206,33.00981099656357
EXC,Exelon,Utilities,20.327134986225897,20.41928631402183,20.391510067114094,20.41142613151153,20.392774914089348
EXPE,Expedia Group,Consumer Discretionary,76.1767191283293,76.36170165745855,76.19867549668874,76.25508417508418,76.13632768361582
EXPD,Expeditors International,Industrials,42.6414233241506,42.87906801007557,42.75979026845638,42.84501280956448,42.755137457044675
EXR,Extra Space Storage,Real Estate,51.07450574712644,51.588050314465406,51.27910994764398,51.41075692963753,51.31781954887218
XOM,ExxonMobil,Energy,46.44096418732782,46.72255247691016,46.63280201342282,46.623629376601194,46.70203608247422
FFIV,"F5, Inc.",Information Technology,82.42460055096419,82.93076406381192,82.66287751677852,82.8529120409906,82.6044587628866
FDS,FactSet,Financials,119.15797979797979,120.21993282955499,119.60997483221476,119.76631084543126,119.49589347079038
FICO,Fair Isaac,Information Technology,115.49260789715335,117.2634844668346,116.23524328859061,116.80110162254483,116.50475945017183
FAST,Fastenal,Industrials,16.341570247933884,16.472225020990763,16.390159395973154,16.42203245089667,16.379372852233676
FRT,Federal Realty,Real Estate,63.018898071625344,63.31563392107473,63.139211409395976,63.182374039282664,63.22361683848797
FDX,FedEx,Industrials,112.86735537190083,113.53662468513853,113.16595637583893,113.33165670367207,113.15052405498281
FITB,Fifth Third Bank,Financials,21.319807162534435,21.40531486146096,21.355704697986578,21.380973526900085,21.42585910652921
FRC,First Republic Bank,Financials,83.05588441330998,83.47708598726115,83.28995207667732,83.27804207119742,83.13487765089722
FSLR,First Solar,Information Technology,83.9313219895288,83.67072879330944,84.01884109916368,83.82596107055961,83.38953488372093
FE,FirstEnergy,Utilities,25.019788797061523,25.05502938706969,25.011812080536913,25.065516652433818,25.05856529209622
FIS,FIS,Financials,49.130617042115574,49.39463677130045,49.167983870967745,49.37852189781022,49.24864220183486
FISV,Fiserv,Financials,36.727401285583106,36.979286314021834,36.74924496644295,36.91805294619983,36.842027491408935
FLT,Fleetcor,Financials,162.79654385964912,162.9292503987241,162.2090575079872,162.28542949756888,162.2896405228758
FMC,FMC Corporation,Materials,38.875151515151515,39.20564231738035,39.00474832214765,39.13452604611443,39.07275773195877
F,Ford Motor Company,Consumer Discretionary,8.204077134986226,8.236028547439128,8.221484899328859,8.222971818958156,8.201812714776633
FTNT,Fortinet,Information Technology,15.571095008051529,15.765387994143484,15.663826979472141,15.701713859910582,15.682496240601505
FTV,Fortive,Industrials,60.478571428571435,60.47023460410557,60.40194690265486,60.386865671641786,60.45546546546546
FOXA,Fox Corporation (Class A),Communication Services,32.87256830601093,32.92872549019608,32.903930348258704,32.89893939393939,32.9745641025641
FOX,Fox Corporation (Class B),Communication Services,31.4675956284153,31.488522167487684,31.46398009950249,31.455151515151513,31.51830769230769
BEN,Franklin Templeton,Financials,21.70509641873278,21.74073047858942,21.725553691275167,21.727053800170793,21.73688144329897
FCX,Freeport-McMoRan,Materials,19.486106519742883,19.576272040302268,19.594127516778524,19.606276686592658,19.551709621993126
GRMN,Garmin,Consumer Discretionary,39.74435823754789,39.89227471566055,39.789930008748904,39.850605520926095,39.747153088630256
IT,Gartner,Information Technology,71.22366391184573,72.12496221662468,71.6385654362416,71.73331340734416,71.8610910652921
GEHC,GE HealthCare,Health Care,63.905,61.87285714285714,61.788333333333334,61.91571428571428,61.980000000000004
GEN,Gen Digital,Information Technology,9.5778145087236,9.648320738874895,9.638842281879194,9.638804440649018,9.604819587628866
GNRC,Generac,Industrials,85.75498360655737,86.20160953800298,85.9150971599402,85.8804696969697,85.48331297709923
GD,General Dynamics,Industrials,86.57380165289256,87.20883291351805,86.9044211409396,86.99593509820667,87.09170962199313
GE,General Electric,Industrials,108.64157024793388,108.6995717884131,108.90677013422818,108.97784799316823,108.86776632302406
GIS,General Mills,Consumer Staples,30.677676767676765,30.90136859781696,30.797567114093958,30.805508112724166,30.774699312714777
GM,General Motors,Consumer Discretionary,31.326463414634144,31.427638668779714,31.386534181240066,31.326048387096776,31.33068181818182
GPC,Genuine Parts Company,Consumer Discretionary,52.36382001836547,52.80636439966415,52.587869127516775,52.584910333048676,52.65898625429553
GILD,Gilead Sciences,Health Care,33.37206611570248,33.53959697732998,33.401132550335575,33.38539709649872,33.35116838487973
GL,Globe Life,Financials,42.554196510560146,42.892653232577665,42.69010906040268,42.76450896669513,42.80077319587629
GPN,Global Payments,Financials,54.52663784822287,54.92260984182777,54.684472759226715,54.9281305903399,54.694338433843384
GS,Goldman Sachs,Financials,145.71199265381082,146.6390512174643,146.4701677852349,146.5625192143467,146.21079896907216
HAL,Halliburton,Energy,25.958227731864095,26.120931989924433,26.105528523489934,26.156302305721603,26.122817869415808
