sym,name,years_in,sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AVY,Avery Dennison,36,Materials,33.30869047619048,30.42975806451613,36.375,33.182539682539684,37.88630952380952,35.66880952380953,39.81027888446215,41.254143426294824,30.491185770750988,21.57880952380952,27.08484126984127,26.45047619047619,24.25936,35.63793650793651,41.16059523809523,50.78492063492063,63.79801587301588,82.24884462151394,97.25713147410359,106.5220634920635,118.68474308300397,197.3451984126984,176.79290836653385,188.14600000000002
BKR,Baker Hughes,6,Energy,15.684761904761904,17.657500000000002,16.028373015873015,15.514007936507937,19.625198412698413,26.332182539682538,38.112509960159365,41.311912350597616,34.37474308300395,19.856150793650794,25.01988095238095,34.77428571428572,24.540119999999998,27.149484126984127,36.11099206349206,33.245595238095234,28.447896825396825,31.652908366533865,26.523187250996013,21.164603174603172,15.220197628458498,22.159365079365077,28.604302788844624,30.419999999999998
BALL,Ball Corporation,39,Materials,1.7274603174603174,2.6518145161290323,4.699246031746032,5.533293650793651,7.595396825396826,8.47325396825397,8.710438247011952,10.819880478087649,9.635098814229249,10.042738095238095,12.715476190476192,16.137857142857143,18.85512,21.09166666666667,27.955039682539685,32.358690476190475,34.60464285714286,37.52227091633466,39.42282868525896,62.31876984126984,74.78114624505929,87.09904761904761,69.09752988047809,56.07899999999999
BAC,Bank of America,47,Financials,13.68,16.825443548387096,20.59984126984127,23.847658730158727,28.03107142857143,30.717261904761905,35.475378486055774,36.932908366533866,24.260355731225296,10.284642857142858,12.263730158730159,8.39579365079365,7.11344,11.371507936507935,13.870119047619047,14.219206349206349,13.426388888888889,21.82956175298805,26.641593625498007,27.09202380952381,24.69703557312253,38.8434126984127,36.46896414342629,34.2215
BBWI,"Bath & Body Works, Inc.",40,Consumer Discretionary,5.948571428571428,4.3885887096774185,5.042420634920635,4.568373015873016,6.421825396825397,7.37515873015873,8.942629482071712,8.593705179282868,5.736047430830039,5.011388888888889,10.580079365079364,17.300753968253968,23.763240000000003,29.81952380952381,36.37285714285715,54.2286507936508,48.20412698412699,32.79486055776893,25.226573705179284,17.003452380952382,18.55901185770751,56.02456349206349,41.69657370517928,45.331
BAX,Baxter International,51,Health Care,12.870357142857143,17.807782258064517,16.047579365079365,10.079920634920635,12.180515873015873,14.680277777777777,16.364860557768925,22.295577689243025,25.35177865612648,22.700119047619047,21.419126984126983,23.914087301587305,26.18668,32.16420634920635,34.49325396825397,33.79365079365079,40.24353174603175,53.78876494023904,65.4291235059761,75.43742063492063,80.46351778656127,78.14583333333333,66.22274900398406,45.954
BDX,Becton Dickinson,51,Health Care,19.57313492063492,24.050161290322578,23.13511904761905,25.803452380952383,35.92079365079365,40.784126984126985,48.42565737051793,58.41677290836654,61.549328063241106,53.42031746031746,59.17738095238096,64.4490873015873,62.8014,82.54198412698412,102.43515873015873,125.7343253968254,145.61,175.95274900398405,215.82892430278883,229.2473412698413,232.46478260869563,236.1861111111111,246.1071314741036,252.3255
WRB,Berkley,4,Financials,1.574484126984127,2.8076612903225806,3.4869444444444446,4.614642857142858,6.090714285714285,8.190753968253969,11.833585657370518,10.545139442231076,8.88592885375494,8.176666666666666,9.163730158730159,10.837579365079366,13.16276,15.420833333333334,16.769126984126984,19.933333333333334,21.74436507936508,26.953784860557768,30.011035856573706,39.51916666666666,39.315533596837945,48.24043650793651,65.38629482071713,71.3305
BRK-B,Berkshire Hathaway,13,Financials,37.41579365079365,45.75975806451613,48.15746031746032,48.9147619047619,58.79138888888889,57.1611507936508,62.834741035856574,77.48270916334661,81.33885375494071,61.517023809523806,78.50484126984128,77.58345238095238,83.39396,110.17924603174602,130.42416666666665,140.15103174603175,144.0326984126984,175.08964143426294,203.52780876494026,208.07242063492063,205.01023715415022,272.7105555555556,304.48920318725095,312.786
BBY,Best Buy,24,Consumer Discretionary,16.85972222222222,15.36241935483871,15.14861111111111,17.59968253968254,22.381944444444443,26.715714285714284,33.633027888446215,31.052868525896415,25.37913043478261,24.23734126984127,26.517103174603175,19.988730158730156,13.95536,21.783690476190475,22.840119047619048,27.440119047619046,28.430793650793653,45.08860557768924,62.01258964143426,61.60650793650794,84.17225296442689,105.94873015873017,79.22653386454184,82.954
BIO,Bio-Rad,3,Health Care,12.979484126984127,23.792298387096775,39.74662698412698,48.0377380952381,55.22519841269841,55.50888888888889,68.93800796812748,82.95414342629482,87.12541501976284,78.5781746031746,94.70884920634921,108.02003968253968,102.72184,118.66821428571428,120.87650793650793,137.52603174603175,149.1690476190476,219.57577689243027,277.532828685259,312.564126984127,472.18162055335966,675.8090476190476,505.98410358565735,450.73400000000004
TECH,Bio-Techne,2,Health Care,9.39281746031746,6.409072580645161,6.318690476190476,6.218809523809524,8.330714285714286,9.988769841269841,11.538047808764942,12.83386454183267,15.006640316205534,13.038373015873017,13.574007936507936,16.068492063492062,15.70608,17.09968253968254,21.168571428571425,22.79484126984127,24.3015873015873,27.75195219123506,39.0293625498008,48.78063492063492,61.3497233201581,109.79436507936508,90.3307171314741,81.76599999999999
